,Data,precipitacao_observada,Horario,Datetime,BoaVista_ws10,BoaVista_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10,prec_prev_BoaVista,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_BoaVista,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW
2021-08-05 07:00:00,2021-08-05,0.0,07:00:00,2021-08-05 07:00:00,1.12706,14.5427,1.14003,22.3239,1.04498,13.0479,0.96745,7.22833,1.08345,22.4684,0.978586,10.0478,1.02663,14.6747,1.11439,16.8794,1.08385,27.7675,1.23833e-08,1.53113e-09,7.5464e-08,3.93861e-05,7.4339e-09,0.000122001,4.72248e-06,1.95206e-07,9.59174e-11,16.3115,16.4232,16.241,16.2792,16.2711,16.1156,16.2867,16.2174,16.3727
2021-08-05 08:00:00,2021-08-05,0.0,08:00:00,2021-08-05 08:00:00,1.59097,12.8679,1.49529,18.2173,1.6557,11.7815,1.49997,15.0162,1.61788,14.7117,1.46677,15.0687,1.60427,20.4048,1.82944,10.7014,1.59681,16.9862,4.75771e-11,2.25602e-08,0.0,0.0,6.06108e-09,1.52795e-10,0.0,0.0,8.99074e-08,15.8156,15.838,15.9044,15.8311,15.8126,15.7812,15.8049,15.9005,15.6491
2021-08-05 09:00:00,2021-08-05,0.0,09:00:00,2021-08-05 09:00:00,1.4104,15.9279,1.30397,25.3924,1.55478,13.1528,1.23846,12.6437,1.36544,24.2807,1.40884,16.9795,1.20052,15.3819,1.58828,11.5241,1.29227,35.6162,4.91789e-05,2.49979e-06,2.04932e-05,0.00287464,0.00560038,0.000347359,0.000325143,0.00423746,0.00857415,15.4146,15.4843,15.4404,15.3589,15.5478,15.3079,15.3835,15.4824,15.6397
2021-08-05 10:00:00,2021-08-05,0.0,10:00:00,2021-08-05 10:00:00,0.479812,51.8388,0.61608,82.9033,0.59664,35.5986,0.289998,55.7827,0.635571,53.9283,0.448474,27.1663,0.189099,99.9179,0.930293,32.7577,0.737884,76.8529,0.000344397,0.000158025,0.000145269,0.0257949,0.00651944,0.00891865,0.00758869,0.004653,0.00857415,15.4563,15.4904,15.4863,15.2668,15.6902,15.2291,15.2974,15.7281,15.6923
2021-08-05 11:00:00,2021-08-05,4.0,11:00:00,2021-08-05 11:00:00,0.909745,332.091,0.753728,341.633,1.01497,324.574,0.764996,343.067,0.903054,325.161,0.847858,339.509,0.610631,341.64,1.16251,322.897,0.77098,330.493,0.000344397,0.000158002,0.000145269,0.0258212,0.00651943,0.00891867,0.00760072,0.004653,0.00857406,16.0959,16.1509,16.1709,15.9355,16.2764,15.9181,15.9422,16.2088,16.4949
2021-08-05 12:00:00,2021-08-05,1.0,12:00:00,2021-08-05 12:00:00,1.41056,337.824,1.22019,338.989,1.42863,339.834,1.426,328.761,1.42766,358.928,1.35497,330.918,1.35039,327.854,1.48679,353.057,1.23551,4.63132,0.000295218,0.000155525,0.000124776,0.0229465,0.000919058,0.00857131,0.00727558,0.000415541,0.0,17.0864,16.8668,17.3997,17.2585,17.2068,17.4104,17.0615,17.5698,17.0802
2021-08-05 13:00:00,2021-08-05,0.0,13:00:00,2021-08-05 13:00:00,1.07923,332.6,0.984007,338.465,1.09135,334.565,1.07491,323.453,1.24025,336.495,1.06722,331.326,1.14275,321.397,1.12668,336.948,1.01876,334.035,0.0,0.0,0.0,2.62968e-05,0.0,1.95578e-08,1.20341e-05,0.0,0.0,18.8014,18.784,19.0035,18.9247,18.9243,19.0069,18.8341,19.1071,18.902
2021-08-05 14:00:00,2021-08-05,0.0,14:00:00,2021-08-05 14:00:00,0.986479,299.255,1.32821,319.953,1.46669,243.32,0.778941,305.655,1.24438,300.253,1.4063,249.634,1.21083,321.943,1.38398,248.947,1.4786,313.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4515,20.4534,20.28,20.6577,20.4102,20.4084,20.5863,20.2084,20.3304
2021-08-05 15:00:00,2021-08-05,0.0,15:00:00,2021-08-05 15:00:00,2.5012,197.311,2.27831,193.87,2.25195,210.15,2.24883,207.92,2.61095,187.977,1.83412,206.417,2.37298,197.753,2.52453,199.261,2.03201,198.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6636,21.2332,20.4768,20.5804,21.0362,20.4688,20.8911,20.7858,21.4111
2021-08-05 16:00:00,2021-08-05,0.0,16:00:00,2021-08-05 16:00:00,3.34821,178.837,3.1334,180.449,3.49229,178.287,2.82263,166.832,3.69733,182.094,3.01932,168.535,2.57643,165.405,3.91767,181.765,3.49217,182.809,0.0,1.48575e-08,0.0,0.0,0.0,0.0,5.58794e-09,0.0,0.0,21.0616,21.2791,21.0337,21.2433,21.2254,21.077,21.3723,21.0915,21.3378
2021-08-05 17:00:00,2021-08-05,0.0,17:00:00,2021-08-05 17:00:00,3.79341,166.787,3.62672,164.209,3.91589,168.099,3.60267,161.134,4.2291,171.721,3.61107,163.069,3.61437,159.577,4.40123,170.344,4.01308,172.206,0.0,1.48575e-08,0.0,0.0,0.0,0.0,5.58794e-09,0.0,0.0,21.3835,21.7842,21.1275,21.4237,21.3814,21.1318,21.6864,21.0446,21.7404
2021-08-05 18:00:00,2021-08-05,0.0,18:00:00,2021-08-05 18:00:00,4.44537,160.071,4.40055,158.819,4.40056,160.951,4.41523,156.722,4.63958,164.996,4.28525,157.66,4.49059,155.433,4.76108,164.325,4.4658,165.328,0.0,1.48575e-08,0.0,0.0,0.0,0.0,5.58794e-09,0.0,0.0,21.1516,21.5576,20.9136,21.214,21.2005,20.8988,21.5216,20.9097,21.5378
2021-08-05 19:00:00,2021-08-05,0.0,19:00:00,2021-08-05 19:00:00,4.21861,155.263,4.17132,152.913,4.15024,157.228,4.23804,147.163,4.47214,161.73,4.13563,148.383,4.29247,146.048,4.55032,161.805,4.33008,161.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0131,21.3877,20.7928,21.0885,20.982,20.8336,21.3131,20.7173,21.3021
2021-08-05 20:00:00,2021-08-05,0.0,20:00:00,2021-08-05 20:00:00,4.41131,130.706,4.3595,130.229,4.2086,129.898,4.30223,128.536,4.28004,133.282,4.24686,128.997,4.42183,127.156,4.19318,134.325,4.18814,132.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5853,20.8753,20.4803,20.5609,20.8104,20.3261,20.7325,20.6461,21.0183
2021-08-05 21:00:00,2021-08-05,0.0,21:00:00,2021-08-05 21:00:00,3.55925,118.284,3.80722,117.119,3.52736,120.774,4.03616,114.469,3.16108,123.417,4.03731,118.383,4.23527,114.923,3.10246,124.035,3.38234,120.093,0.000165132,0.00300446,3.67756e-05,0.000138709,0.0175512,0.000781703,0.000319107,0.00011864,0.149073,20.2238,20.3965,20.0726,20.1339,20.4489,19.9573,20.1616,20.2194,20.6286
2021-08-05 22:00:00,2021-08-05,0.0,22:00:00,2021-08-05 22:00:00,4.18778,110.92,4.14957,110.115,4.38743,113.2,4.4136,110.872,3.80967,111.035,4.55408,112.92,4.42479,110.11,4.12712,113.806,3.8066,110.295,0.000165132,0.00300446,3.67757e-05,0.000138709,0.0175512,0.000781703,0.000319107,0.000118657,0.149073,19.8716,19.9966,19.7802,19.7432,20.1456,19.5362,19.7646,20.0001,20.2191
2021-08-05 23:00:00,2021-08-05,0.0,23:00:00,2021-08-05 23:00:00,3.51715,102.411,3.26179,104.138,3.36528,103.94,3.49846,103.046,3.26807,102.167,3.45242,103.729,3.26216,105.021,3.19976,105.642,3.1945,102.595,0.000165132,0.00300446,3.67757e-05,0.000138709,0.0175512,0.000781703,0.000319107,0.000118657,0.149073,19.5572,19.6384,19.558,19.4313,19.8084,19.4264,19.4358,19.724,19.8409
2021-08-06 00:00:00,2021-08-06,0.0,00:00:00,2021-08-06 00:00:00,0.860021,25.4885,0.718422,358.735,1.18651,47.7811,1.07893,70.6061,1.3,28.0588,2.06311,68.1495,0.892759,56.1203,1.24268,31.5444,1.29662,18.3975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.041,18.991,19.0898,18.9917,19.0895,19.0422,18.9399,19.1365,19.0411
2021-08-06 01:00:00,2021-08-06,0.0,01:00:00,2021-08-06 01:00:00,1.19462,59.1825,1.01787,50.3612,1.70066,61.4794,1.49655,68.9606,1.10208,47.3316,1.95705,68.4221,1.38403,61.5888,1.33462,54.0019,1.16763,40.9004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4879,18.6125,18.4968,18.4411,18.6876,18.3057,18.59,18.6898,18.7219
2021-08-06 02:00:00,2021-08-06,0.0,02:00:00,2021-08-06 02:00:00,1.42028,80.4235,0.693492,84.5252,1.82179,70.7269,1.62533,91.7191,1.13266,69.3701,2.02569,78.1851,0.935432,97.6941,1.37086,69.4012,0.867023,59.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7452,17.9322,17.6608,17.4883,18.0609,17.3235,17.8035,17.989,18.1063
2021-08-06 03:00:00,2021-08-06,0.0,03:00:00,2021-08-06 03:00:00,1.7341,79.6086,1.2089,87.4592,2.00027,72.5439,2.07281,89.0039,1.50753,77.9765,2.40014,80.3353,1.57594,91.1494,1.6317,66.2411,1.03885,86.2326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8585,17.3799,16.9815,16.6006,17.2949,16.8097,17.1246,17.2231,17.5533
2021-08-06 04:00:00,2021-08-06,0.0,04:00:00,2021-08-06 04:00:00,1.72521,81.0941,1.06395,77.5463,2.23983,74.5235,2.31743,81.0103,1.36163,78.8867,2.60862,77.4154,2.12527,78.1182,1.84938,69.4958,0.688428,81.9246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.097,17.3074,17.1267,17.1479,17.2279,16.9757,17.5353,17.2554,17.2991
2021-08-06 05:00:00,2021-08-06,0.0,05:00:00,2021-08-06 05:00:00,1.09545,67.7286,0.956474,67.1992,1.56756,64.207,1.70727,73.5925,0.787185,55.1749,2.05869,71.129,1.80889,72.7024,1.16719,54.1572,0.290084,26.4959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8633,17.1207,16.9567,16.9951,17.0312,16.8625,17.3533,17.0358,17.2087
2021-08-06 06:00:00,2021-08-06,2.0,06:00:00,2021-08-06 06:00:00,1.23962,57.6603,1.27516,59.9445,1.3343,54.455,1.6514,68.293,0.984851,64.4263,1.9771,67.5373,1.9693,64.722,1.23952,48.673,0.761352,77.1915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7565,16.9431,16.7664,16.8663,16.9395,16.717,17.1563,16.9236,16.997
2021-08-06 07:00:00,2021-08-06,0.0,07:00:00,2021-08-06 07:00:00,1.2138,77.0414,0.78066,73.6793,1.72111,67.4094,1.58195,78.3663,1.17479,71.2979,2.23425,73.5805,1.3527,71.8846,1.51101,65.9301,0.802217,63.9567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5294,16.7497,16.6353,16.6184,16.7375,16.5193,16.7995,16.7982,16.8057
2021-08-06 08:00:00,2021-08-06,0.0,08:00:00,2021-08-06 08:00:00,0.629675,54.1771,0.392614,31.7252,1.26229,59.7397,1.33455,76.0989,0.815617,42.3157,2.32157,73.8554,1.24947,71.3117,1.083,46.1972,0.802833,38.0535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3679,16.5467,16.333,16.3561,16.5388,16.4269,16.5684,16.4933,16.5368
