,Data,precipitacao_observada,Horario,Datetime,Barreto_ws10,Barreto_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10,prec_prev_Barreto,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_Barreto,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW
2021-08-05 16:00:00,2021-08-05,0.0,16:00:00,2021-08-05 16:00:00,2.45254,162.065,2.32443,161.329,2.57643,165.405,2.64186,148.614,3.09127,180.066,2.71449,152.918,2.69862,148.713,3.1334,180.449,2.96171,180.678,1.23557e-06,5.50758e-06,5.58794e-09,0.00311589,1.14611e-07,0.000260433,0.00487773,1.48575e-08,9.59262e-08,21.4799,21.6138,21.3723,21.0546,21.494,21.1189,21.2237,21.2791,21.6483
2021-08-05 17:00:00,2021-08-05,0.0,17:00:00,2021-08-05 17:00:00,3.65533,159.535,3.69463,160.584,3.61437,159.577,3.75768,162.997,3.54105,162.038,3.75411,161.969,3.69173,163.952,3.62672,164.209,3.59223,159.849,1.23557e-06,5.50758e-06,5.58794e-09,0.00311589,1.14611e-07,0.000260433,0.00487773,1.48575e-08,9.59262e-08,21.8709,22.0779,21.6864,21.5501,22.0801,21.4533,21.8447,21.7842,22.3084
2021-08-05 18:00:00,2021-08-05,0.0,18:00:00,2021-08-05 18:00:00,4.45737,154.397,4.32318,153.552,4.49059,155.433,4.42317,149.997,4.31053,157.822,4.44553,152.222,4.27023,147.885,4.40055,158.819,4.29826,157.172,1.23557e-06,5.50758e-06,5.58794e-09,0.00311589,1.14611e-07,0.000260433,0.00487773,1.48575e-08,9.59262e-08,21.7564,22.0141,21.5216,21.4895,21.8739,21.3778,21.7719,21.5576,22.1222
2021-08-05 19:00:00,2021-08-05,0.0,19:00:00,2021-08-05 19:00:00,4.28544,146.109,4.16612,146.672,4.29247,146.048,4.50848,143.059,4.12014,150.78,4.43475,142.106,4.37929,143.753,4.17132,152.913,4.10742,149.533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4398,21.5872,21.3131,21.0294,21.6513,21.0228,21.2291,21.3877,21.8192
2021-08-05 20:00:00,2021-08-05,0.0,20:00:00,2021-08-05 20:00:00,4.59904,128.092,4.61775,130.284,4.42183,127.156,4.86869,126.809,4.25551,129.796,4.4126,124.272,5.05192,129.543,4.3595,130.229,4.14905,131.296,0.0,1.74623e-10,0.0,0.0,0.0,0.0,4.65661e-10,0.0,0.0,20.7827,20.8682,20.7325,20.3271,21.0483,20.4108,20.4525,20.8753,21.1398
2021-08-05 21:00:00,2021-08-05,0.0,21:00:00,2021-08-05 21:00:00,4.37169,118.245,4.30109,120.216,4.23527,114.923,4.72963,116.328,4.00506,119.719,4.55883,112.924,4.77272,119.193,3.80722,117.119,3.92226,122.03,0.000463015,0.0700299,0.000319107,0.00066782,0.079317,0.000711325,0.00286705,0.00300446,0.314022,20.1463,20.2394,20.1616,19.6864,20.45,19.7859,19.8336,20.3965,20.5092
2021-08-05 22:00:00,2021-08-05,0.0,22:00:00,2021-08-05 22:00:00,4.49857,110.706,4.42399,111.964,4.42479,110.11,4.65746,110.53,4.23195,111.463,4.58606,110.06,4.65085,112.471,4.14957,110.115,4.19875,113.181,0.000463015,0.0700299,0.000319107,0.00066782,0.079317,0.000711325,0.00286705,0.00300446,0.314022,19.8004,19.8207,19.7646,19.2733,20.0833,19.3796,19.4201,19.9966,20.1801
2021-08-05 23:00:00,2021-08-05,0.0,23:00:00,2021-08-05 23:00:00,3.14601,105.476,3.19038,104.475,3.26216,105.021,3.53515,104.168,3.0045,105.773,3.40237,104.785,3.67112,103.535,3.26179,104.138,2.93352,105.624,0.000463015,0.0700299,0.000319107,0.00066782,0.079317,0.000711325,0.00286705,0.00300446,0.314022,19.5223,19.6728,19.4358,19.1368,19.7641,19.1108,19.3419,19.6384,19.9017
2021-08-06 00:00:00,2021-08-06,0.0,00:00:00,2021-08-06 00:00:00,1.21842,51.2064,1.55531,46.1553,0.892759,56.1203,3.13983,69.3722,0.953582,9.00092,2.74877,71.4997,2.71531,67.4617,0.718422,358.735,1.30838,22.5695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8867,18.8317,18.9399,18.8334,18.9394,18.8884,18.7768,18.991,18.886
2021-08-06 01:00:00,2021-08-06,0.0,01:00:00,2021-08-06 01:00:00,1.73273,57.4175,1.60239,53.6702,1.38403,61.5888,2.49537,66.0874,1.24622,47.7274,2.16582,68.2129,2.17227,64.0145,1.01787,50.3612,1.29174,47.0818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5623,18.4774,18.59,18.275,18.6698,18.4079,18.2018,18.6125,18.6047
2021-08-06 02:00:00,2021-08-06,0.0,02:00:00,2021-08-06 02:00:00,1.1238,80.7566,1.48452,72.769,0.935432,97.6941,2.39755,78.0497,0.526483,76.4192,1.80673,88.6604,2.38046,77.3492,0.693492,84.5252,0.804148,67.0349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6256,17.7883,17.8035,17.2816,17.9678,17.5663,17.3837,17.9322,18.0166
2021-08-06 03:00:00,2021-08-06,0.0,03:00:00,2021-08-06 03:00:00,1.4742,82.6284,1.69155,76.8264,1.57594,91.1494,2.8254,83.3063,0.725758,87.4921,2.2858,88.3195,2.77034,82.4165,1.2089,87.4592,0.911544,81.9155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6152,17.6125,17.1246,17.4922,17.591,16.9029,17.4579,17.3799,17.6162
2021-08-06 04:00:00,2021-08-06,0.0,04:00:00,2021-08-06 04:00:00,2.51597,76.4071,2.3411,76.77,2.12527,78.1182,3.26022,79.0888,1.27426,69.999,2.94743,78.1792,2.96791,82.3149,1.06395,77.5463,1.6614,69.3844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6714,17.5248,17.5353,17.3981,17.545,17.4043,17.2811,17.3074,17.5407
2021-08-06 05:00:00,2021-08-06,0.0,05:00:00,2021-08-06 05:00:00,2.43781,73.6003,2.22373,74.8768,1.80889,72.7024,3.28192,75.661,1.37539,71.9241,2.82306,74.2619,2.89962,78.616,0.956474,67.1992,1.50006,71.3242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5541,17.4132,17.3533,17.3336,17.3614,17.3296,17.2218,17.1207,17.3524
2021-08-06 06:00:00,2021-08-06,0.0,06:00:00,2021-08-06 06:00:00,2.5846,64.7986,2.47336,68.484,1.9693,64.722,3.52491,67.7604,1.65733,64.2479,3.20218,68.0518,3.0555,71.4076,1.27516,59.9445,1.87934,68.6349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.213,17.0794,17.1563,17.0139,17.1545,17.154,16.8575,16.9431,17.1165
2021-08-06 07:00:00,2021-08-06,0.0,07:00:00,2021-08-06 07:00:00,1.92642,68.1385,1.98968,67.8286,1.3527,71.8846,3.24688,72.5591,1.14179,66.4432,2.87747,74.0656,2.89588,74.5516,0.78066,73.6793,1.22534,64.9978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.008,16.8823,16.7995,16.9197,16.8099,16.9998,16.7508,16.7497,16.7855
2021-08-06 08:00:00,2021-08-06,0.0,08:00:00,2021-08-06 08:00:00,1.82193,68.2255,1.8979,64.4146,1.24947,71.3117,3.60038,74.5602,0.967508,52.7071,3.20956,74.9554,3.10714,74.5845,0.392614,31.7252,1.04619,56.5121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8006,16.6498,16.5684,16.8607,16.5328,16.969,16.6035,16.5467,16.4864
