,index,Data,Horario,precipitacao_observada,Barreto_ws10,Barreto_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10,prec_prev_Barreto,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_Barreto,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW,DataHora
9330,469,2021-02-05,1000 UTC,1.0,3.4308400000000003,288.843,2.62851,299.446,3.86501,289.654,3.29609,276.953,3.77214,296.368,3.786480000000001,286.005,1.95393,272.764,4.100219999999998,289.516,4.356,318.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5236,29.3463,29.7012,29.1727,29.7325,29.3485,28.8488,29.8398,29.4894,2021-02-05 10:00:00+00:00
423,470,2021-02-05,1100 UTC,0.6,5.17606,321.947,5.41504,333.265,4.7815900000000005,306.143,4.2897,325.812,5.023219999999999,313.015,4.5397,310.493,4.14693,331.135,4.1573,297.435,6.42152,329.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6543,30.8858,30.3949,30.6894,30.3476,30.5749,30.7958,30.2269,30.4749,2021-02-05 11:00:00+00:00
7606,471,2021-02-05,0100 UTC,0.0,4.1166,17.7844,3.93007,21.4902,4.15913,13.4091,4.36741,19.2049,4.09915,16.0041,4.34071,14.7115,4.09561,23.2648,4.15065,12.1317,4.070819999999999,19.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3719,30.2872,30.4939,29.9804,30.3717,30.2043,29.9512,30.452,30.151,2021-02-05 01:00:00+00:00
9322,472,2021-02-05,0200 UTC,0.0,2.21296,73.32300000000002,2.45616,77.64,2.0409,71.1426,2.33719,69.5391,2.1927,76.0389,2.10784,65.2365,2.44711,78.0334,2.15251,73.1168,2.39156,80.0202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3227,29.329,29.2842,28.9574,29.5125,28.9806,29.0565,29.4141,29.4994,2021-02-05 02:00:00+00:00
509,473,2021-02-05,0300 UTC,0.0,0.768195,123.075,0.829625,97.8923,1.00925,115.746,1.28421,90.9005,0.344403,111.166,1.26018,96.8738,1.48012,88.4369,0.5579649999999999,114.475,0.572013,83.8146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5244,29.6556,29.2585,29.3325,29.7305,29.0792,29.4841,29.4968,29.7889,2021-02-05 03:00:00+00:00
3074,474,2021-02-05,0000 UTC,0.0,3.4308400000000003,288.843,2.62851,299.446,3.86501,289.654,3.29609,276.953,3.77214,296.368,3.786480000000001,286.005,1.95393,272.764,4.100219999999998,289.516,4.356,318.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5098,30.603,30.4088,30.3822,30.6359,30.282,30.4748,30.5342,30.7296,2021-02-05 00:00:00+00:00
2485,475,2021-02-05,0500 UTC,0.0,1.77922,143.16,1.54264,157.907,1.98638,133.916,2.0840400000000003,127.024,1.56574,153.387,2.1991,124.515,1.9091,132.468,1.78141,138.466,1.46481,173.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1407,28.3575,28.0466,28.2085,28.4357,27.8211,28.6004,28.4582,28.5487,2021-02-05 05:00:00+00:00
7594,476,2021-02-05,0700 UTC,0.0,0.32356,167.86,0.6945359999999999,117.05,0.329227,233.58900000000003,0.406941,107.346,0.379239,254.649,0.39398,64.6481,0.776151,118.971,0.6044510000000001,283.553,0.447028,102.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0569,29.0627,28.8399,28.7849,28.9994,28.6956,28.8082,28.7427,29.1828,2021-02-05 07:00:00+00:00
1231,477,2021-02-05,0800 UTC,0.6,0.7293,25.8545,0.582758,41.7013,0.64474,19.3169,1.03502,347.89,0.886518,54.1295,0.907396,5.58975,0.702913,349.69699999999995,1.03449,32.3044,0.764075,50.6006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1023,29.1998,29.0007,28.7593,29.2083,28.7709,28.9243,29.053,29.2537,2021-02-05 08:00:00+00:00
2481,478,2021-02-05,0900 UTC,0.4,0.218827,184.337,0.8091619999999999,156.726,0.714956,307.643,0.626262,197.628,2.82941,331.556,0.904165,201.608,0.623093,203.585,3.63371,323.157,2.44142,337.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2512,29.1915,29.1026,28.6195,29.6484,28.5518,28.7488,29.7101,29.5532,2021-02-05 09:00:00+00:00
2125,479,2021-02-05,0400 UTC,0.0,1.81245,85.1789,1.94838,86.1956,2.08477,93.676,2.39066,87.8054,1.42781,86.0879,2.43851,89.3892,2.56635,93.7686,1.79141,96.3403,1.5606799999999998,79.6909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3021,29.2789,28.8811,28.9475,29.4151,28.7072,28.9261,28.9367,29.4925,2021-02-05 04:00:00+00:00
6956,480,2021-02-06,1400 UTC,0.0,2.26473,185.816,2.52941,191.253,1.93226,182.779,2.6927,194.367,2.03231,184.376,2.1636900000000003,188.37,2.83761,199.77,1.90124,189.376,2.22597,184.456,1.46489,2.21279,1.0704,1.55933,2.60617,2.02671,1.4974,1.26797,3.36722,23.8547,24.045,23.7924,23.5945,23.9977,23.5199,23.9555,23.8261,24.0983,2021-02-06 14:00:00+00:00
8716,481,2021-02-06,2100 UTC,0.0,4.4294400000000005,160.112,4.16487,164.513,3.68324,150.984,4.2057400000000005,164.115,4.16,151.069,3.5225800000000005,158.67700000000005,3.98332,165.979,3.74568,138.282,3.89646,160.267,0.0193443,0.0218639,0.0486212,0.0279102,0.00858021,0.0360956,0.0268974,0.0294847,0.0041256,25.0751,25.1899,25.0086,24.821,25.2348,24.9192,24.9301,25.0386,25.3725,2021-02-06 21:00:00+00:00
6461,482,2021-02-06,2000 UTC,1.0,3.62592,158.884,3.45321,157.864,3.69177,158.344,3.56429,156.191,3.57957,159.575,3.69144,157.37,3.33111,153.001,3.63761,159.66299999999995,3.5578199999999995,159.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.881,25.8036,25.7811,25.4759,26.0036,25.5594,25.4297,25.8467,26.0039,2021-02-06 20:00:00+00:00
2981,483,2021-02-06,1900 UTC,2.8,3.76711,163.642,3.65763,162.715,3.87513,164.77599999999995,3.87986,164.649,3.78759,164.741,3.93092,165.34400000000005,3.7348,164.112,3.96924,166.713,3.67828,163.056,0.106133,0.0937424,0.129144,0.0223951,0.193235,0.030611,0.0168667,0.233097,0.160826,25.6148,25.7264,25.5403,25.2836,25.7914,25.3214,25.4438,25.6182,25.8788,2021-02-06 19:00:00+00:00
2067,484,2021-02-06,1800 UTC,6.0,4.64145,170.613,4.60496,171.90400000000002,4.657109999999999,169.581,4.72084,171.64700000000005,4.61051,169.366,4.65911,170.303,4.6673300000000015,173.50400000000005,4.67393,168.929,4.61971,170.005,0.11069,0.102728,0.1302569999999999,0.0298576,0.196259,0.033494,0.0268869,0.242663,0.165491,25.5715,25.7019,25.5065,25.3015,25.7355,25.3408,25.4769,25.5788,25.8253,2021-02-06 18:00:00+00:00
3388,485,2021-02-06,1700 UTC,0.0,4.67379,177.609,4.62869,178.8,4.68562,176.623,4.73059,180.736,4.5385800000000005,177.653,4.67764,178.97,4.65987,182.599,4.6688800000000015,177.455,4.48337,178.43900000000005,0.623957,0.636775,0.602641,0.7138399999999999,0.6786409999999999,0.609567,0.721957,0.660439,0.661035,25.8305,25.907,25.8052,25.603,25.9532,25.7607,25.7043,25.8011,26.0034,2021-02-06 17:00:00+00:00
2979,486,2021-02-06,1600 UTC,0.0,3.3583800000000004,196.982,3.41771,196.629,3.38276,197.279,3.64426,190.668,3.38947,199.777,3.780980000000001,189.124,3.49562,192.636,3.44674,201.72,3.36889,198.108,1.96202,2.7322900000000003,1.49316,2.19932,3.06794,2.42333,2.18028,1.65071,3.84985,25.4311,25.5555,25.3342,25.3436,25.3613,25.3686,25.5054,25.0909,25.4931,2021-02-06 16:00:00+00:00
2585,487,2021-02-06,1500 UTC,0.2,2.42336,185.277,2.26598,187.432,2.5575,184.597,2.54942,184.62,2.08588,188.887,2.59826,182.507,2.41346,188.686,2.37577,188.82,1.91617,189.198,1.95755,2.74185,1.49246,2.2281,3.06494,2.55588,2.18947,1.6413400000000002,3.85446,24.7496,24.809,24.7371,24.4595,24.8673,24.5451,24.5817,24.7625,24.8633,2021-02-06 15:00:00+00:00
9054,488,2021-02-06,1300 UTC,0.0,1.6363,234.488,1.84766,265.259,1.54228,196.423,2.1156900000000003,198.898,1.32778,254.203,2.46367,172.082,1.91013,247.707,1.27636,232.582,1.497,276.44,2.47027,1.88067,2.43647,2.2408200000000003,3.58416,2.62231,1.44411,3.4702800000000003,3.3354699999999995,25.3584,25.3052,25.2909,24.9498,25.3158,24.8281,25.2672,25.1272,25.1724,2021-02-06 13:00:00+00:00
2405,489,2021-02-06,0800 UTC,0.0,0.990502,187.56,0.8311379999999999,190.909,1.12486,179.993,0.952623,185.776,1.06229,180.593,1.00761,183.814,0.879433,187.525,1.22596,171.085,0.862,195.818,1.89106,1.99829,1.62839,1.87825,1.65834,1.71649,1.7909099999999998,1.54285,1.98266,24.673,24.8043,24.6139,24.3308,24.9116,24.3792,24.4978,24.7317,24.9948,2021-02-06 08:00:00+00:00
